Tract,sf_num_loans,sf_med_income,sf_med_upb,indian,asian,black,hawai,white,mean_age,sf_purchase,sf_refinance,sf_rehab,sf_cashout,sf_na,mf_num_loans,mf_med_upb,mf_purchase,mf_refinance,mf_rehab,mf_cashout,mf_na,NAME,unitE,unitM,geometry,family
241200,25,51000,76000,1,1,0,0,18,39.6,16,6,0,3,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2412, Allegheny County, Pennsylvania",386,42,"list(list(c(1343648.50501231, 1343696.13943206, 1343868.99688547, 1344552.18054306, 1345658.21847772, 1346035.9057863, 1346159.89389687, 1345834.60476114, 1344671.53816621, 1344383.74733862, 1345864.95440521, 1345919.86751932, 1346012.84467184, 1346941.69867865, 1346535.82142005, 1346559.33033213, 1345887.53342097, 1345911.43476289, 1344439.92574224, 1344347.67299734, 1343923.00111914, 1343816.5260517, 1343634.64762366, 1343648.50501231, 114370.492914551, 114457.460040215, 114842.963864003, 115584.822942248, 
115692.883740997, 116314.752371847, 117256.623263702, 118575.301799948, 119893.067782555, 121032.205923536, 121031.051879281, 120861.976018024, 120582.575421497, 117197.807580312, 117100.033963867, 116242.191223814, 115162.11824872, 114998.946389737, 114442.923416678, 114030.543524222, 114284.285833408, 114322.399745398, 114287.023605057, 114370.492914551)))",Single Family only
250300,226,97500,216500,0,14,11,0,172,37.876106194690266,128,78,0,20,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2503, Allegheny County, Pennsylvania",572,64,"list(list(c(1337819.1826323, 1338793.18771189, 1339520.97968235, 1339975.40757467, 1340119.81891208, 1340223.3871142, 1340051.92594945, 1338076.50049522, 1337819.1826323, 114865.697957988, 115181.007338683, 115045.002012848, 115517.894166423, 114789.189310626, 114650.539913755, 114160.784699054, 113751.325824541, 114865.697957988)))",Single Family only
250700,17,58000,73000,0,1,2,0,8,45.294117647058826,7,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2507, Allegheny County, Pennsylvania",268,39,"list(list(c(1334240.36458487, 1334419.14901191, 1336113.20308498, 1336296.29455009, 1336701.05987205, 1337133.34637563, 1337307.67192763, 1337819.1826323, 1338076.50049522, 1337325.31897221, 1336753.98050598, 1336680.98746529, 1335540.36281019, 1333852.59409357, 1334240.36458487, 116346.832265996, 116179.934779187, 116554.194465522, 116402.506121073, 116243.183078554, 115699.718244286, 115287.303604429, 114865.697957988, 113751.325824541, 113601.509282988, 113409.094876106, 113747.054830873, 115051.925024221, 
116009.332949322, 116346.832265996)))",Single Family only
250900,63,70000,125000,1,1,5,0,46,39.04761904761905,34,24,0,5,0,2,26639000,1,0,0,0,1,"Census Tract 2509, Allegheny County, Pennsylvania",592,70,"list(list(c(1339648.71285561, 1341379.67969711, 1340854.47893916, 1341859.6909107, 1342366.14642647, 1342447.36613592, 1342473.69090337, 1342465.48724555, 1342468.21599881, 1342117.23345097, 1342153.99642288, 1341759.14223821, 1340482.5233881, 1340223.3871142, 1340119.81891208, 1339975.40757467, 1339958.42174226, 1339774.55051787, 1339648.71285561, 116941.670151879, 117125.077896844, 117651.932275892, 118102.861124839, 117089.94523153, 116733.931716667, 115968.5840244, 115245.683219338, 114964.968257174, 
114807.161187471, 114636.361128678, 114547.49151699, 114723.239802879, 114650.539913755, 114789.189310626, 115517.894166423, 115923.267581829, 116334.088628457, 116941.670151879)))",Single Family and Multi Family
260200,181,60000,92000,0,6,14,0,135,37.23756906077348,102,63,0,16,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2602, Allegheny County, Pennsylvania",996,67,"list(list(c(1335007.64200799, 1335503.2276302, 1335641.88411027, 1336349.25991147, 1336594.43566349, 1337134.3783695, 1337168.23119077, 1337790.16170661, 1337855.90648367, 1339264.61135328, 1339451.53877569, 1339770.00253308, 1340263.86980519, 1340472.2721479, 1340431.09035781, 1340119.08834327, 1339982.04377925, 1339617.30444233, 1338557.89126034, 1337571.29039243, 1338094.32894678, 1338380.77476935, 1338749.1363782, 1337564.89939678, 1338068.18124577, 1337398.18193372, 1337010.18057722, 1337335.17798057, 
1336718.52754557, 1336697.14345761, 1336215.33658459, 1335657.16769977, 1335818.07499995, 1335647.90698276, 1335672.07251304, 1334962.56542417, 1335007.64200799, 128370.724490761, 128594.23671443, 128047.161433404, 128018.013025011, 127489.287448435, 128247.810257529, 128891.676528198, 128745.627260037, 128738.073891415, 128471.242052234, 127478.637464224, 127270.954722939, 124314.585731128, 123480.704407387, 123491.61895592, 123629.144337398, 124306.994843505, 125142.046629971, 125322.810745548, 
125892.430137558, 125335.304090023, 124083.860380397, 123963.062156731, 123406.886250099, 124634.012409502, 124882.635016726, 125463.570997342, 126078.302165286, 126056.9294601, 126578.323742424, 125078.764482697, 124975.334177361, 124532.644081749, 124389.866883239, 124568.1889689, 126540.790053023, 128370.724490761)))",Single Family only
260700,126,62500,121500,0,1,17,0,93,34.12698412698413,64,49,0,13,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2607, Allegheny County, Pennsylvania",696,64,"list(list(c(1337571.29039243, 1338557.89126034, 1339617.30444233, 1339982.04377925, 1340119.08834327, 1340431.09035781, 1340498.56691546, 1340503.27654081, 1340482.99770343, 1340395.88822202, 1340394.31607124, 1339593.74675909, 1339282.16278933, 1338774.18071723, 1338520.42488185, 1338138.48399296, 1338605.41473265, 1338990.65342311, 1339009.83911039, 1339025.69242759, 1339049.90008175, 1339244.72646222, 1339312.64454047, 1338768.04231006, 1338828.34263488, 1338749.1363782, 1338380.77476935, 1338094.32894678, 
1337571.29039243, 125892.430137558, 125322.810745548, 125142.046629971, 124306.994843505, 123629.144337398, 123491.61895592, 122962.831967327, 122663.112531214, 122312.289407692, 121490.487335835, 121152.661858652, 121041.974417171, 120525.269190114, 120524.328355214, 120495.609079289, 121216.324499017, 121467.989437553, 121714.508394622, 121788.359618549, 121787.94534078, 121926.177164228, 121905.050164549, 122278.319141152, 123110.793460158, 123937.665109185, 123963.062156731, 124083.860380397, 
125335.304090023, 125892.430137558)))",Single Family only
260900,1,13000,33000,0,0,0,0,1,80,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2609, Allegheny County, Pennsylvania",574,76,"list(list(c(1340472.2721479, 1340529.76744515, 1340943.86596391, 1341715.84029839, 1342115.09403409, 1342116.2358048, 1343544.54848237, 1343852.99786915, 1343690.85970773, 1343196.83652406, 1342367.07036142, 1341524.66750915, 1341273.17663933, 1341119.8626311, 1340468.88633653, 1340394.31607124, 1340395.88822202, 1340482.99770343, 1340503.27654081, 1340498.56691546, 1340431.09035781, 1340472.2721479, 123480.704407387, 123465.719888157, 123198.338798492, 123389.632470097, 123193.001283984, 122337.919873433, 
121974.253937971, 121301.09277191, 120275.664986961, 120308.529151656, 119856.631996795, 119722.547146868, 119577.83744917, 119494.35611372, 120852.943179799, 121152.661858652, 121490.487335835, 122312.289407692, 122663.112531214, 122962.831967327, 123491.61895592, 123480.704407387)))",Single Family only
261200,114,63500,105000,0,3,7,0,94,37.19298245614035,59,51,0,4,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2612, Allegheny County, Pennsylvania",481,42,"list(list(c(1337790.16170661, 1338049.04825322, 1339137.49359827, 1339717.30958791, 1339794.50368169, 1340286.51792739, 1340212.63761309, 1341633.58133395, 1341644.35605474, 1341715.84029839, 1340943.86596391, 1340529.76744515, 1340472.2721479, 1340263.86980519, 1339770.00253308, 1339451.53877569, 1339264.61135328, 1337855.90648367, 1337790.16170661, 128745.627260037, 129643.106243691, 129186.014696548, 129984.370763532, 129328.491660026, 129332.416976544, 128750.824240318, 128803.818488583, 128255.736888129, 
123389.632470097, 123198.338798492, 123465.719888157, 123480.704407387, 124314.585731128, 127270.954722939, 127478.637464224, 128471.242052234, 128738.073891415, 128745.627260037)))",Single Family only
261400,72,67000,94000,0,2,9,0,47,41.388888888888886,39,27,1,5,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2614, Allegheny County, Pennsylvania",1082,110,"list(list(c(1336709.65344887, 1338088.60389939, 1338426.17389896, 1338602.88955714, 1338958.25058072, 1340106.79857708, 1340481.24265127, 1341119.8626311, 1341859.6909107, 1340854.47893916, 1341379.67969711, 1339648.71285561, 1339774.55051787, 1339958.42174226, 1339975.40757467, 1339520.97968235, 1338793.18771189, 1337819.1826323, 1337307.67192763, 1337133.34637563, 1336701.05987205, 1336709.65344887, 117091.090919789, 118023.014430972, 118466.860623928, 118699.51221409, 118823.621059236, 119082.298431347, 
119170.213236117, 119494.35611372, 118102.861124839, 117651.932275892, 117125.077896844, 116941.670151879, 116334.088628457, 115923.267581829, 115517.894166423, 115045.002012848, 115181.007338683, 114865.697957988, 115287.303604429, 115699.718244286, 116243.183078554, 117091.090919789)))",Single Family only
261500,42,52500,71000,0,1,12,0,21,40.476190476190474,19,20,0,3,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2615, Allegheny County, Pennsylvania",769,69,"list(list(c(1335310.34919764, 1336217.00438117, 1337733.19356977, 1337729.70805791, 1337726.47788411, 1338605.41473265, 1338138.48399296, 1338520.42488185, 1338774.18071723, 1339282.16278933, 1339593.74675909, 1340394.31607124, 1340468.88633653, 1341119.8626311, 1340481.24265127, 1340106.79857708, 1338958.25058072, 1338602.88955714, 1338426.17389896, 1338088.60389939, 1336709.65344887, 1336701.05987205, 1336296.29455009, 1336113.20308498, 1335580.34403719, 1335472.90355532, 1335416.97900184, 1335310.34919764, 
119064.282566383, 119607.593030331, 119619.966956554, 120284.130203343, 121436.317432921, 121467.989437553, 121216.324499017, 120495.609079289, 120524.328355214, 120525.269190114, 121041.974417171, 121152.661858652, 120852.943179799, 119494.35611372, 119170.213236117, 119082.298431347, 118823.621059236, 118699.51221409, 118466.860623928, 118023.014430972, 117091.090919789, 116243.183078554, 116402.506121073, 116554.194465522, 117177.953500782, 118036.564247415, 118577.821629382, 119064.282566383)))",Single Family only
262000,110,60500,81000,0,2,4,0,93,37.09090909090909,74,28,0,8,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2620, Allegheny County, Pennsylvania",1296,85,"list(list(c(1341273.17663933, 1341524.66750915, 1342367.07036142, 1343196.83652406, 1343199.98280308, 1344782.71292196, 1344671.53816621, 1345834.60476114, 1346159.89389687, 1346035.9057863, 1345658.21847772, 1344552.18054306, 1343868.99688547, 1343092.66306183, 1342843.34438806, 1342800.15368633, 1342664.62850313, 1342609.56897247, 1342595.30973421, 1342468.21599881, 1342465.48724555, 1342473.69090337, 1342447.36613592, 1342366.14642647, 1341859.6909107, 1341119.8626311, 1341273.17663933, 119577.83744917, 
119722.547146868, 119856.631996795, 120308.529151656, 119722.012007321, 119736.382211824, 119893.067782555, 118575.301799948, 117256.623263702, 116314.752371847, 115692.883740997, 115584.822942248, 114842.963864003, 114632.75464669, 114519.679966472, 114496.746262991, 114466.734336146, 114447.75396251, 114509.720256788, 114964.968257174, 115245.683219338, 115968.5840244, 116733.931716667, 117089.94523153, 118102.861124839, 119494.35611372, 119577.83744917)))",Single Family only
270100,273,69000,115000,0,9,13,0,226,36.92307692307692,163,91,0,19,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2701, Allegheny County, Pennsylvania",1107,84,"list(list(c(1327814.40383593, 1328408.19512912, 1329248.65736058, 1329735.69917474, 1329978.26386773, 1330646.84459585, 1331268.46063445, 1332402.61367096, 1332662.69435755, 1332829.33044095, 1333154.6682403, 1331655.32668536, 1331159.2611603, 1330671.22773003, 1330604.85067346, 1330345.61593, 1329096.19849279, 1328211.05962503, 1327814.40383593, 123475.101666033, 124046.852640766, 124969.621405652, 125243.907560191, 125471.105321874, 126096.690663415, 125379.712411164, 124985.256377942, 124126.973636345, 
123428.613416687, 123164.89675847, 122760.923646104, 122619.87047042, 122488.091054983, 122220.135914579, 122079.024637855, 121595.327897818, 123142.720534609, 123475.101666033)))",Single Family only
270300,114,68000,104000,0,6,13,0,81,35.96491228070175,70,33,0,11,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2703, Allegheny County, Pennsylvania",897,56,"list(list(c(1330671.22773003, 1331159.2611603, 1331655.32668536, 1333154.6682403, 1333995.39239979, 1333728.39445159, 1333403.7521166, 1333080.57071743, 1332769.57796887, 1332834.05029733, 1332362.5355262, 1332375.31407766, 1331984.33538376, 1332016.68152942, 1331891.26502925, 1331389.86396887, 1331370.63748101, 1330604.85067346, 1330671.22773003, 122488.091054983, 122619.87047042, 122760.923646104, 123164.89675847, 122170.315375138, 121247.936972557, 121201.457939641, 121041.592690642, 120763.68420938, 
120432.860948045, 119873.80862038, 120705.570600179, 119971.272746747, 119573.138733011, 119914.686825125, 120836.946805562, 120867.706869, 122220.135914579, 122488.091054983)))",Single Family only
270400,43,55000,83000,0,2,8,0,29,36.74418604651163,24,15,0,4,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2704, Allegheny County, Pennsylvania",453,54,"list(list(c(1333146.52791137, 1334136.68170219, 1334930.59662278, 1335052.42756471, 1335472.90355532, 1335580.34403719, 1336113.20308498, 1334419.14901191, 1334240.36458487, 1333852.59409357, 1333093.61483758, 1333146.52791137, 117273.356855357, 118298.050032687, 118479.078163989, 117946.291745501, 118036.564247415, 117177.953500782, 116554.194465522, 116179.934779187, 116346.832265996, 116009.332949322, 117240.855971206, 117273.356855357)))",Single Family only
270800,295,69000,115000,0,1,16,1,239,36.847457627118644,170,90,0,35,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2708, Allegheny County, Pennsylvania",1175,88,"list(list(c(1330646.84459585, 1331371.05888759, 1332253.62941075, 1332830.06605062, 1334962.56542417, 1335672.07251304, 1335647.90698276, 1335468.51954785, 1335471.40500716, 1335475.70057627, 1334227.76093475, 1333728.39445159, 1333995.39239979, 1333154.6682403, 1332829.33044095, 1332662.69435755, 1332402.61367096, 1331268.46063445, 1330646.84459585, 126096.690663415, 126764.923291008, 126234.969922015, 126535.384555651, 126540.790053023, 124568.1889689, 124389.866883239, 123483.394132243, 123116.656684114, 
122750.611094406, 121418.84349342, 121247.936972557, 122170.315375138, 123164.89675847, 123428.613416687, 124126.973636345, 124985.256377942, 125379.712411164, 126096.690663415)))",Single Family only
271500,83,57000,62000,1,3,16,1,48,36.98795180722892,49,31,0,3,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2715, Allegheny County, Pennsylvania",1132,159,"list(list(c(1331984.33538376, 1332375.31407766, 1332362.5355262, 1332834.05029733, 1332769.57796887, 1333080.57071743, 1333403.7521166, 1333728.39445159, 1334227.76093475, 1335475.70057627, 1335471.40500716, 1335468.51954785, 1336039.4137472, 1335346.06325012, 1334960.31776964, 1336172.85324318, 1337306.92480338, 1337726.47788411, 1337729.70805791, 1337733.19356977, 1336217.00438117, 1335310.34919764, 1335416.97900184, 1335472.90355532, 1335052.42756471, 1334930.59662278, 1334136.68170219, 1333146.52791137, 
1333093.61483758, 1332614.03534274, 1332016.68152942, 1331984.33538376, 119971.272746747, 120705.570600179, 119873.80862038, 120432.860948045, 120763.68420938, 121041.592690642, 121201.457939641, 121247.936972557, 121418.84349342, 122750.611094406, 123116.656684114, 123483.394132243, 122247.042836351, 122255.052184452, 121302.615749815, 121212.805325292, 121336.142513339, 121436.317432921, 120284.130203343, 119619.966956554, 119607.593030331, 119064.282566383, 118577.821629382, 118036.564247415, 
117946.291745501, 118479.078163989, 118298.050032687, 117273.356855357, 117240.855971206, 118002.507808614, 119573.138733011, 119971.272746747)))",Single Family only
281400,114,61000,79000,0,4,8,0,87,35.08771929824562,73,30,0,11,0,2,8565000,0,1,0,1,0,"Census Tract 2814, Allegheny County, Pennsylvania",1090,71,"list(list(c(1324800.47717697, 1325623.10785569, 1327154.03674143, 1327671.16203155, 1328047.66878351, 1329758.28111388, 1330168.39318049, 1330672.99418113, 1329486.60289105, 1329615.6336175, 1329212.84218075, 1327048.62174918, 1326834.0309008, 1325970.49197032, 1325312.67628945, 1325063.1404688, 1324800.47717697, 111299.828665084, 112054.941044619, 112716.864763404, 112531.437722861, 112303.469954715, 111753.994610496, 110133.956852035, 109840.677875615, 108910.975108529, 108767.594617236, 108469.197119133, 
109477.990648988, 109565.710911008, 109826.358394049, 110616.238527936, 111011.071022581, 111299.828665084)))",Single Family and Multi Family
281500,87,54000,75000,0,0,4,0,71,37.241379310344826,49,34,0,4,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2815, Allegheny County, Pennsylvania",671,51,"list(list(c(1325343.12224542, 1326834.0309008, 1327048.62174918, 1329212.84218075, 1329615.6336175, 1329005.29267779, 1329025.45611362, 1328574.58045265, 1328003.67869826, 1327375.60964988, 1326638.67954631, 1326152.74067298, 1325175.42671079, 1325343.12224542, 108929.340357935, 109565.710911008, 109477.990648988, 108469.197119133, 108767.594617236, 108067.215676024, 107399.684165043, 107410.192604103, 107190.267352663, 107355.308493898, 107322.436472389, 107250.457961902, 108405.683804208, 108929.340357935
)))",Single Family only
290100,83,50000,55000,0,2,4,0,72,40.24096385542169,53,26,0,4,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2901, Allegheny County, Pennsylvania",888,77,"list(list(c(1341709.46427389, 1342653.06921513, 1342799.99125057, 1342808.8333089, 1343999.2039215, 1344147.32485075, 1344023.75301961, 1344502.04813755, 1344831.63727052, 1344857.19925009, 1344885.88716764, 1345229.76220319, 1345304.18467374, 1345538.62829755, 1345520.41679927, 1345488.07482652, 1345474.52716931, 1344391.19712295, 1344200.08150379, 1343695.08176185, 1343565.08176229, 1343320.56699621, 1343062.11606366, 1342953.84931938, 1342629.07990156, 1342507.25544038, 1342307.19531975, 1341853.41200113, 
1341780.65424013, 1341730.89953561, 1341709.46427389, 93729.6459116688, 93713.1586252245, 96014.2860199334, 96108.091098289, 95790.7572352475, 95711.4755897883, 95501.4577799051, 94841.0414350998, 93482.5028446449, 93134.8622453392, 92778.7579123187, 91863.0566192834, 91691.2884626048, 91101.3440425991, 90590.4568570956, 90320.1232348808, 89903.5143448121, 89889.2416838025, 90709.8824750736, 90632.9335195301, 90412.5136518794, 90397.3460817884, 90629.2921894982, 91128.8798058335, 91510.8924121551, 
91455.3734363472, 91788.9591821582, 92567.237379329, 92802.0278627286, 93460.8348206336, 93729.6459116688)))",Single Family only
290200,143,50000,65000,1,5,13,1,96,39.16083916083916,81,54,0,8,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2902, Allegheny County, Pennsylvania",1869,130,"list(list(c(1344147.32485075, 1345318.37634475, 1345960.25099119, 1347050.13967421, 1347165.37015234, 1347306.05277407, 1347896.43019609, 1348580.47356892, 1348391.60478351, 1347492.95667076, 1347451.56764264, 1347893.7651744, 1347733.60542499, 1347740.48063247, 1347320.56165677, 1346431.21819202, 1346009.69851806, 1345791.85012271, 1345668.22780084, 1345474.52716931, 1345488.07482652, 1345520.41679927, 1345538.62829755, 1345304.18467374, 1345229.76220319, 1344885.88716764, 1344857.19925009, 1344831.63727052, 
1344502.04813755, 1344023.75301961, 1344147.32485075, 95711.4755897883, 95281.3565334166, 95235.6199052678, 95113.8391551167, 95876.9925512437, 95649.2171904875, 95280.8421289401, 94577.6748421187, 94416.6954982107, 93548.3182010236, 92849.9596663757, 91896.4133548091, 91899.0771482835, 91776.4371344059, 90587.0368766681, 89200.1713429302, 88676.3617256693, 89144.13824361, 89472.441234041, 89903.5143448121, 90320.1232348808, 90590.4568570956, 91101.3440425991, 91691.2884626048, 91863.0566192834, 
92778.7579123187, 93134.8622453392, 93482.5028446449, 94841.0414350998, 95501.4577799051, 95711.4755897883)))",Single Family only
290400,188,50000,75000,0,7,4,0,158,37.287234042553195,118,55,0,15,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 2904, Allegheny County, Pennsylvania",1799,138,"list(list(c(1343659.2833163, 1344317.97204113, 1344151.94968167, 1343986.95116889, 1343950.57033117, 1343922.67257921, 1343870.18243423, 1343982.46439132, 1344127.43994574, 1344179.71361546, 1344150.30172643, 1344189.78273823, 1344151.96377653, 1344095.08000779, 1344018.69970041, 1343994.82635342, 1343651.69467971, 1343727.50547958, 1343565.08176229, 1343695.08176185, 1344200.08150379, 1344391.19712295, 1345474.52716931, 1345668.22780084, 1345791.85012271, 1346009.69851806, 1346431.21819202, 1347320.56165677, 
1347740.48063247, 1347733.60542499, 1347893.7651744, 1348504.07553207, 1349214.34987867, 1349205.87586462, 1349216.19926702, 1348457.65564376, 1348901.52805606, 1348241.13793307, 1347901.39133046, 1348113.43831282, 1348294.79839545, 1347880.295209, 1346671.69067456, 1346291.33546987, 1345952.63309836, 1345876.8066813, 1345664.60385805, 1346045.61534827, 1345529.58785631, 1345399.06861814, 1345318.34434347, 1345242.88815312, 1344927.15251858, 1343655.25200222, 1343470.8850305, 1343659.2833163, 87454.1779540935, 
87619.3630223037, 88085.8141388924, 88031.7692362269, 87993.7122766687, 87949.6041172722, 88527.1987978559, 88558.1877490832, 88603.2744310071, 88641.649224262, 88851.2547653938, 89127.5984766969, 89227.7145783615, 89312.6518222441, 89301.1435620043, 89380.1238036063, 89883.2385632905, 89980.4120414021, 90412.5136518794, 90632.9335195301, 90709.8824750736, 89889.2416838025, 89903.5143448121, 89472.441234041, 89144.13824361, 88676.3617256693, 89200.1713429302, 90587.0368766681, 91776.4371344059, 91899.0771482835, 
91896.4133548091, 90478.2240902163, 90334.5984485936, 89353.2900538597, 88854.4257322319, 88325.3794634602, 87431.9483911655, 87665.4169467911, 87221.1140809715, 86742.2083053949, 86175.1618095402, 86346.9192782177, 85976.7558822108, 86305.1137380516, 85752.1962173335, 85557.3366218123, 86028.9776515462, 86331.134237229, 86402.4059218917, 86442.5887350277, 87137.1763665812, 87398.9963977336, 87357.5873990782, 87201.7008079743, 87250.2141052939, 87454.1779540935)))",Single Family only
300100,28,62500,48000,1,3,3,0,20,38.57142857142857,15,12,0,1,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 3001, Allegheny County, Pennsylvania",1468,135,"list(list(c(1342756.14732139, 1345291.21783067, 1345281.32440992, 1345287.92600823, 1345292.93344613, 1344947.72676601, 1344833.70414744, 1344488.42290408, 1344227.47547832, 1344147.32485075, 1343999.2039215, 1342808.8333089, 1342805.20606348, 1342825.9856282, 1342779.01059106, 1342763.37628387, 1342760.86246061, 1342761.01461113, 1342759.80513329, 1342757.95656783, 1342756.14732139, 99789.1938901837, 99814.2883535612, 99409.9785834382, 98867.8358920413, 98328.6501065972, 97702.297151178, 97473.0762011201, 
96554.0582554023, 95869.4047600872, 95711.4755897883, 95790.7572352475, 96108.091098289, 96827.2939362486, 97284.5349738207, 98158.3061681667, 98811.850276149, 98951.1447735049, 98978.4764117161, 99382.70998277, 99515.4266520063, 99789.1938901837)))",Single Family only
310200,206,56000,83500,2,4,7,0,174,37.52427184466019,109,77,1,19,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 3102, Allegheny County, Pennsylvania",1431,87,"list(list(c(1361990.02045256, 1362383.25237875, 1363765.02966018, 1364968.60868468, 1365130.02132673, 1365794.21089283, 1366506.33822038, 1367149.99568329, 1366998.28489472, 1366134.48824828, 1367026.31110878, 1368460.69857077, 1369276.28700938, 1367911.10840485, 1367434.18580238, 1367256.86960519, 1367056.3443833, 1366321.73993175, 1366041.29716901, 1365535.48308871, 1363601.92044975, 1363180.46849876, 1363172.17366675, 1362553.18586217, 1362488.17536612, 1362043.01423259, 1361990.02045256, 84081.8876124775, 
85199.6713386388, 84604.4435599807, 85306.8847002211, 85375.0117863957, 85597.86444083, 84760.0332854624, 84550.4491811404, 84021.7449649734, 82626.6113234424, 81746.7716078362, 82234.7967958284, 79796.6572003441, 78980.2946344907, 78558.8172785808, 78670.7523793531, 79238.4872817964, 78993.2974381767, 79787.1835277259, 79984.2381054404, 79976.8672322281, 81179.9779188087, 81571.6254551228, 82809.9552541788, 83551.0951898664, 83528.7495943498, 84081.8876124775)))",Single Family only
310300,94,82000,136000,1,2,6,0,76,43.08510638297872,33,53,0,8,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 3103, Allegheny County, Pennsylvania",409,31,"list(list(c(1360891.36400493, 1361330.67236404, 1364586.03383377, 1365094.77315986, 1365939.87384397, 1364907.87036596, 1365463.35954955, 1364425.41964806, 1364610.50528648, 1365030.8736081, 1364683.56402001, 1364968.60868468, 1363765.02966018, 1362383.25237875, 1361032.12825397, 1360925.36940287, 1360621.74400833, 1360891.36400493, 89299.2048866869, 88916.0204513245, 92324.0704268992, 92121.0854421759, 91439.5439851083, 90353.3600267099, 90145.9337556223, 88380.5493196992, 88203.8864628041, 86046.6539816275, 
85867.2791335736, 85306.8847002211, 84604.4435599807, 85199.6713386388, 86566.8821057195, 86710.255668, 87535.4085630376, 89299.2048866869)))",Single Family only
320400,114,53000,75000,0,2,6,1,88,37.89473684210526,68,39,0,7,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 3204, Allegheny County, Pennsylvania",845,56,"list(list(c(1342507.25544038, 1342629.07990156, 1342953.84931938, 1343062.11606366, 1343320.56699621, 1343565.08176229, 1343727.50547958, 1343651.69467971, 1343994.82635342, 1344018.69970041, 1344095.08000779, 1344151.96377653, 1344189.78273823, 1344150.30172643, 1344179.71361546, 1344127.43994574, 1343982.46439132, 1343870.18243423, 1343922.67257921, 1343950.57033117, 1343986.95116889, 1344151.94968167, 1344317.97204113, 1343659.2833163, 1343470.8850305, 1343655.25200222, 1344927.15251858, 1345242.88815312, 
1345318.34434347, 1345399.06861814, 1345529.58785631, 1346045.61534827, 1345664.60385805, 1345876.8066813, 1345597.20361721, 1345507.32413158, 1344169.44299953, 1343607.20306719, 1343441.11480886, 1342780.55416596, 1342845.46750956, 1343060.38478797, 1343134.29396915, 1342621.22212721, 1342510.31119674, 1342551.20977424, 1342507.25544038, 91455.3734363472, 91510.8924121551, 91128.8798058335, 90629.2921894982, 90397.3460817884, 90412.5136518794, 89980.4120414021, 89883.2385632905, 89380.1238036063, 
89301.1435620043, 89312.6518222441, 89227.7145783615, 89127.5984766969, 88851.2547653938, 88641.649224262, 88603.2744310071, 88558.1877490832, 88527.1987978559, 87949.6041172722, 87993.7122766687, 88031.7692362269, 88085.8141388924, 87619.3630223037, 87454.1779540935, 87250.2141052939, 87201.7008079743, 87357.5873990782, 87398.9963977336, 87137.1763665812, 86442.5887350277, 86402.4059218917, 86331.134237229, 86028.9776515462, 85557.3366218123, 85145.7725062902, 84978.9768603121, 85423.2327874405, 
85325.1665171692, 85466.5120778416, 86725.405710396, 87154.1681566274, 87542.2289380764, 87963.4690974077, 88984.9158971975, 90585.2909820477, 91237.7342240103, 91455.3734363472)))",Single Family only
320600,243,69000,105000,0,5,6,0,206,35.76131687242798,146,83,0,14,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 3206, Allegheny County, Pennsylvania",998,58,"list(list(c(1337576.80495473, 1337896.67228273, 1338066.5488404, 1339376.18371492, 1340420.89155591, 1341309.92350102, 1341396.19783957, 1341709.46427389, 1341730.89953561, 1341780.65424013, 1341853.41200113, 1342307.19531975, 1342507.25544038, 1342551.20977424, 1342510.31119674, 1342331.47304378, 1341111.9608952, 1340078.74172695, 1340075.34981458, 1339653.11343272, 1339373.84289146, 1339009.58924303, 1339323.48297577, 1339147.98484717, 1338093.61915832, 1337497.98505688, 1337576.80495473, 90699.6221413406, 
91827.3330900243, 92047.0455842008, 93048.3264725464, 93467.5801707854, 93848.6470087244, 93866.0851447853, 93729.6459116688, 93460.8348206336, 92802.0278627286, 92567.237379329, 91788.9591821582, 91455.3734363472, 91237.7342240103, 90585.2909820477, 89407.2092781223, 88872.8662618602, 88965.7321672928, 89124.367927601, 89145.2128999131, 89614.6520008038, 89892.0459975734, 90365.6946313281, 90443.1685685182, 90395.9848787806, 90317.8891209814, 90699.6221413406)))",Single Family only
